id,sector_name,snap_date,open,high,low,close,pct_chg,volume,amount
5414,白酒,2022-05-17,4201.911,4271.18,4180.207,4269.805,1.53,243034160.0,15293721000.0
5415,白酒,2022-05-18,4262.909,4264.326,4174.065,4225.346,-1.04,219070110.0,16741446000.0
5416,白酒,2022-05-19,4158.304,4191.1,4154.094,4188.014,-0.88,171768330.0,13412850900.0
5417,白酒,2022-05-20,4205.464,4378.06,4205.464,4365.244,4.23,333736740.0,31188539000.0
5418,白酒,2022-05-23,4358.014,4383.69,4307.662,4340.747,-0.56,270282380.0,20467863000.0
5419,白酒,2022-05-24,4349.403,4352.096,4221.336,4223.563,-2.7,240643170.0,18284368000.0
5420,白酒,2022-05-25,4228.187,4264.372,4150.827,4240.373,0.4,211872800.0,18192265000.0
5421,白酒,2022-05-26,4233.387,4353.758,4189.304,4305.707,1.54,286999930.0,20149450000.0
5422,白酒,2022-05-27,4317.837,4376.933,4268.054,4284.877,-0.48,258613360.0,20096474000.0
5423,白酒,2022-05-30,4306.602,4433.365,4306.602,4423.654,3.24,325498700.0,30150245000.0
5424,白酒,2022-05-31,4412.264,4595.498,4385.239,4568.892,3.28,395226110.0,36318255000.0
5425,半导体,2021-06-01,6734.448,6925.211,6705.671,6860.986,,1593702900.0,52434799000.0
5426,半导体,2021-06-02,6849.588,6859.945,6735.358,6759.364,-1.48,1375400600.0,43173418000.0
5427,半导体,2021-06-03,6764.407,6809.951,6706.052,6707.921,-0.76,1249490340.0,36671346000.0
5428,半导体,2021-06-04,6684.661,6891.948,6683.88,6861.24,2.29,1523877700.0,46884125000.0
5429,半导体,2021-06-07,6990.343,7133.958,6990.343,7100.179,3.48,2088407900.0,63271355000.0
5430,半导体,2021-06-08,7129.9,7129.9,7013.617,7041.188,-0.83,2021051100.0,55358336000.0
5431,半导体,2021-06-09,7039.758,7144.071,7017.995,7068.383,0.39,1508111000.0,47531905000.0
5432,半导体,2021-06-10,7057.325,7193.154,7053.497,7193.154,1.77,1636990800.0,51377408000.0
5433,半导体,2021-06-11,7194.253,7194.253,6996.297,6997.725,-2.72,1728625800.0,54616105000.0
5434,半导体,2021-06-15,6997.1,7138.416,6997.1,7074.713,1.1,1534914700.0,52832629000.0
5435,半导体,2021-06-16,7108.212,7278.324,7047.818,7051.7,-0.33,1686458900.0,56099480000.0
5436,半导体,2021-06-17,7044.228,7537.146,7041.851,7508.893,6.48,2603215200.0,89934042000.0
5437,半导体,2021-06-18,7523.491,7576.014,7433.393,7540.507,0.42,2314697500.0,87207016000.0
5438,半导体,2021-06-21,7506.302,7672.198,7490.752,7652.884,1.49,2044218200.0,74426844000.0
5439,半导体,2021-06-22,7677.003,7688.995,7521.215,7612.564,-0.53,1966293900.0,67787968000.0
5440,半导体,2021-06-23,7602.585,7948.184,7602.585,7880.855,3.52,2599040300.0,95100707000.0
5441,半导体,2021-06-24,7861.392,7904.987,7752.071,7774.028,-1.36,2268144700.0,77085214000.0
5442,半导体,2021-06-25,7754.17,7868.798,7685.838,7821.982,0.62,2490558800.0,79643894000.0
5443,半导体,2021-06-28,7827.409,8028.146,7801.331,7945.942,1.58,2296901400.0,79775631000.0
5444,半导体,2021-06-29,7925.138,7962.651,7805.529,7855.25,-1.14,1985066000.0,70784190000.0
5445,半导体,2021-06-30,7940.52,8257.746,7940.52,8190.756,4.27,2350039400.0,90107541000.0
5446,半导体,2021-07-01,8198.091,8198.091,7921.692,7921.692,-3.28,2168032300.0,80353505000.0
5447,半导体,2021-07-02,7905.169,7994.762,7835.413,7913.177,-0.11,1956322000.0,76808577000.0
5448,半导体,2021-07-05,8000.354,8178.562,7959.845,8178.562,3.35,2101554200.0,84393369000.0
5449,半导体,2021-07-06,8196.482,8308.894,7960.48,8118.824,-0.73,2435198600.0,97091588000.0
5450,半导体,2021-07-07,8007.632,8247.593,7925.707,8239.076,1.48,2016088900.0,78620408000.0
5451,半导体,2021-07-08,8245.949,8509.269,8245.949,8480.982,2.94,2517027300.0,95492427000.0
5452,半导体,2021-07-09,8409.404,8473.579,8272.465,8438.88,-0.5,2202829600.0,81363920000.0
5453,半导体,2021-07-12,8453.129,8604.152,8347.689,8573.032,1.59,2407465500.0,91627276000.0
5454,半导体,2021-07-13,8533.949,8533.949,8244.238,8311.391,-3.05,2227574100.0,94173494000.0
5455,半导体,2021-07-14,8260.865,8340.752,8171.72,8199.713,-1.34,1689137900.0,67745109000.0
5456,半导体,2021-07-15,8171.667,8234.159,8050.949,8182.606,-0.21,1513413900.0,60510534000.0
5457,半导体,2021-07-16,8195.649,8317.021,8157.824,8158.427,-0.3,1620362200.0,68043046000.0
5458,半导体,2021-07-19,8094.06,8155.213,8029.307,8111.839,-0.57,1548928800.0,62137038000.0
5459,半导体,2021-07-20,8051.404,8288.052,8043.697,8287.961,2.17,1480694500.0,60219651000.0
5460,半导体,2021-07-21,8320.442,8623.392,8299.63,8552.754,3.19,2095492900.0,86364027000.0
5461,半导体,2021-07-22,8573.799,8811.8,8479.818,8787.315,2.74,2275581000.0,96786713000.0
5462,半导体,2021-07-23,8778.106,8870.364,8722.67,8755.194,-0.37,2081291000.0,86051116000.0
5463,半导体,2021-07-26,8755.614,8948.547,8550.432,8839.682,0.97,2254022000.0,98744747000.0
5464,半导体,2021-07-27,8904.596,9515.236,8904.596,9015.04,1.98,3769073000.0,165031160000.0
5465,半导体,2021-07-28,8864.862,8952.765,8400.066,8708.001,-3.41,3088716800.0,119829202000.0
5466,半导体,2021-07-29,8891.025,9361.217,8847.833,9321.292,7.04,3126072800.0,126832649000.0
5467,半导体,2021-07-30,9287.943,9521.787,9263.248,9387.787,0.71,2967600900.0,124582816000.0
5468,半导体,2021-08-02,9352.691,9477.666,9133.739,9370.529,-0.18,2771980000.0,124438324000.0
5469,半导体,2021-08-03,9325.075,9325.075,8816.541,8848.855,-5.57,2600148800.0,110433154000.0
5470,半导体,2021-08-04,8842.566,9178.379,8841.874,9178.379,3.72,2226495800.0,97351515000.0
5471,半导体,2021-08-05,9145.131,9245.35,9000.124,9157.027,-0.23,2172385300.0,91641743000.0
5472,半导体,2021-08-06,9205.777,9266.399,9024.659,9140.162,-0.18,2261182600.0,91886600000.0
