id,asset_code,ex_date,record_date,announce_date,per_share_cash,currency,source
119,000333,2019-05-30,,,1.303962,CNY,akshare:stock_fhps_detail_em
120,002027,2025-12-31,,,0.19,CNY,akshare:stock_fhps_detail_em
121,002027,2025-11-25,,,0.05,CNY,akshare:stock_fhps_detail_em
122,002027,2025-10-17,,,0.1,CNY,akshare:stock_fhps_detail_em
123,002027,2025-08-22,,,0.23,CNY,akshare:stock_fhps_detail_em
124,002027,2024-09-26,,,0.1,CNY,akshare:stock_fhps_detail_em
125,002027,2024-06-13,,,0.33,CNY,akshare:stock_fhps_detail_em
126,002027,2023-07-03,,,0.28,CNY,akshare:stock_fhps_detail_em
127,002027,2023-01-11,,,0.14,CNY,akshare:stock_fhps_detail_em
128,002371,2025-07-03,,,0.785185,CNY,akshare:stock_fhps_detail_em
129,002371,2024-07-04,,,0.78,CNY,akshare:stock_fhps_detail_em
130,002371,2023-07-13,,,0.445,CNY,akshare:stock_fhps_detail_em
131,002371,2022-07-13,,,0.205,CNY,akshare:stock_fhps_detail_em
132,002371,2021-07-09,,,0.109,CNY,akshare:stock_fhps_detail_em
133,002371,2020-06-23,,,0.063,CNY,akshare:stock_fhps_detail_em
134,002371,2019-07-10,,,0.052,CNY,akshare:stock_fhps_detail_em
135,002371,2018-07-03,,,0.028,CNY,akshare:stock_fhps_detail_em
136,002475,2026-02-12,,,0.159915,CNY,akshare:stock_fhps_detail_em
137,002475,2025-12-31,,,0.14,CNY,akshare:stock_fhps_detail_em
138,002475,2025-07-14,,,0.199873,CNY,akshare:stock_fhps_detail_em
139,002475,2024-07-11,,,0.298946,CNY,akshare:stock_fhps_detail_em
140,002475,2023-06-15,,,0.129966,CNY,akshare:stock_fhps_detail_em
141,002475,2022-07-13,,,0.109982,CNY,akshare:stock_fhps_detail_em
142,002475,2021-07-08,,,0.11,CNY,akshare:stock_fhps_detail_em
143,002475,2020-06-17,,,0.092301,CNY,akshare:stock_fhps_detail_em
144,300059,2026-04-21,,,0.1,CNY,akshare:stock_fhps_detail_em
145,300059,2025-04-16,,,0.06,CNY,akshare:stock_fhps_detail_em
146,300059,2024-04-23,,,0.04,CNY,akshare:stock_fhps_detail_em
147,300059,2023-04-18,,,0.058333,CNY,akshare:stock_fhps_detail_em
148,300059,2022-04-20,,,0.066667,CNY,akshare:stock_fhps_detail_em
149,300059,2021-05-27,,,0.05,CNY,akshare:stock_fhps_detail_em
150,300059,2020-05-21,,,0.025,CNY,akshare:stock_fhps_detail_em
151,300059,2019-05-22,,,0.016667,CNY,akshare:stock_fhps_detail_em
152,300308,2026-04-30,,,1.0,CNY,akshare:stock_fhps_detail_em
153,300308,2025-10-13,,,0.4,CNY,akshare:stock_fhps_detail_em
154,300308,2025-06-19,,,0.5,CNY,akshare:stock_fhps_detail_em
155,300308,2024-06-06,,,0.321429,CNY,akshare:stock_fhps_detail_em
156,300308,2023-06-06,,,0.2,CNY,akshare:stock_fhps_detail_em
157,300308,2022-05-26,,,0.22,CNY,akshare:stock_fhps_detail_em
158,300308,2021-06-09,,,0.121,CNY,akshare:stock_fhps_detail_em
159,300308,2020-07-02,,,0.084,CNY,akshare:stock_fhps_detail_em
160,300502,2026-06-11,,,0.714286,CNY,akshare:stock_fhps_detail_em
161,300502,2025-05-28,,,0.321429,CNY,akshare:stock_fhps_detail_em
162,300502,2024-07-05,,,0.155,CNY,akshare:stock_fhps_detail_em
163,300502,2023-06-08,,,0.09,CNY,akshare:stock_fhps_detail_em
164,300502,2022-06-23,,,0.113,CNY,akshare:stock_fhps_detail_em
165,300502,2021-06-08,,,0.194042,CNY,akshare:stock_fhps_detail_em
166,300502,2020-05-29,,,0.128571,CNY,akshare:stock_fhps_detail_em
167,300502,2019-06-14,,,0.12,CNY,akshare:stock_fhps_detail_em
168,300750,2026-04-22,,,6.957,CNY,akshare:stock_fhps_detail_em
169,300750,2025-08-20,,,1.007,CNY,akshare:stock_fhps_detail_em
170,300750,2025-04-22,,,4.553,CNY,akshare:stock_fhps_detail_em
171,300750,2024-04-30,,,2.011,CNY,akshare:stock_fhps_detail_em
172,300750,2023-04-26,,,1.4,CNY,akshare:stock_fhps_detail_em
173,300750,2022-09-28,,,0.6528,CNY,akshare:stock_fhps_detail_em
174,300750,2021-07-05,,,0.240048,CNY,akshare:stock_fhps_detail_em
175,300750,2020-06-04,,,0.220128,CNY,akshare:stock_fhps_detail_em
176,300760,2026-05-28,,,0.31,CNY,akshare:stock_fhps_detail_em
177,300760,2026-05-28,,,1.25,CNY,akshare:stock_fhps_detail_em
178,300760,2025-11-12,,,1.35,CNY,akshare:stock_fhps_detail_em
179,300760,2025-05-29,,,0.56,CNY,akshare:stock_fhps_detail_em
180,300760,2025-05-29,,,1.41,CNY,akshare:stock_fhps_detail_em
181,300760,2024-11-07,,,1.65,CNY,akshare:stock_fhps_detail_em
182,300760,2024-09-09,,,4.06,CNY,akshare:stock_fhps_detail_em
183,300760,2024-05-28,,,1.5,CNY,akshare:stock_fhps_detail_em
184,600030,2026-06-10,,,0.41,CNY,akshare:stock_fhps_detail_em
185,600030,2026-02-09,,,0.29,CNY,akshare:stock_fhps_detail_em
186,600030,2025-08-25,,,0.28,CNY,akshare:stock_fhps_detail_em
187,600030,2024-12-20,,,0.24,CNY,akshare:stock_fhps_detail_em
188,600030,2024-08-26,,,0.475,CNY,akshare:stock_fhps_detail_em
189,600030,2023-08-25,,,0.49,CNY,akshare:stock_fhps_detail_em
190,600030,2022-08-26,,,0.54,CNY,akshare:stock_fhps_detail_em
191,600030,2021-08-20,,,0.4,CNY,akshare:stock_fhps_detail_em
192,600276,2026-05-27,,,0.2,CNY,akshare:stock_fhps_detail_em
193,600276,2025-05-23,,,0.2,CNY,akshare:stock_fhps_detail_em
194,600276,2024-07-12,,,0.2,CNY,akshare:stock_fhps_detail_em
195,600276,2023-06-08,,,0.16,CNY,akshare:stock_fhps_detail_em
196,600276,2022-07-05,,,0.16,CNY,akshare:stock_fhps_detail_em
197,600276,2021-06-10,,,0.166667,CNY,akshare:stock_fhps_detail_em
198,600276,2020-05-25,,,0.191667,CNY,akshare:stock_fhps_detail_em
199,600276,2019-03-28,,,0.183333,CNY,akshare:stock_fhps_detail_em
200,600309,2026-05-27,,,1.25,CNY,akshare:stock_fhps_detail_em
201,600309,2025-05-30,,,0.73,CNY,akshare:stock_fhps_detail_em
202,600309,2024-09-05,,,0.52,CNY,akshare:stock_fhps_detail_em
203,600309,2024-04-22,,,1.625,CNY,akshare:stock_fhps_detail_em
204,600309,2023-05-26,,,1.6,CNY,akshare:stock_fhps_detail_em
205,600309,2022-04-29,,,2.5,CNY,akshare:stock_fhps_detail_em
206,600309,2021-04-26,,,1.3,CNY,akshare:stock_fhps_detail_em
207,600309,2020-05-15,,,1.3,CNY,akshare:stock_fhps_detail_em
208,600760,2026-05-27,,,0.265,CNY,akshare:stock_fhps_detail_em
209,600760,2026-02-11,,,0.14,CNY,akshare:stock_fhps_detail_em
210,600760,2025-05-21,,,0.26,CNY,akshare:stock_fhps_detail_em
211,600760,2025-01-20,,,0.14,CNY,akshare:stock_fhps_detail_em
212,600760,2024-06-20,,,0.4,CNY,akshare:stock_fhps_detail_em
213,600760,2023-06-27,,,0.285714,CNY,akshare:stock_fhps_detail_em
214,600760,2022-05-26,,,0.35,CNY,akshare:stock_fhps_detail_em
215,600760,2021-10-14,,,0.06,CNY,akshare:stock_fhps_detail_em
216,600887,2026-06-05,,,0.9,CNY,akshare:stock_fhps_detail_em
217,600887,2025-12-17,,,0.48,CNY,akshare:stock_fhps_detail_em
218,600887,2025-06-06,,,1.22,CNY,akshare:stock_fhps_detail_em
219,600887,2024-06-05,,,1.2,CNY,akshare:stock_fhps_detail_em
